procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                CEST
 0  0  91819 158443  24125 181852    0    0     0     0  203  181  0  1 99  0  0 2020-05-25 19:41:22
 0  0  91819 163574  24125 181852    0    0     0     0   35   44  1  0 99  0  0 2020-05-25 19:41:23
 0  0  91819 158659  24125 181852    0    0     0     0  450  357  0  3 97  0  0 2020-05-25 19:41:24
 0  0  91819 158449  24125 181852    0    0     0     0  379  305  0  4 96  0  0 2020-05-25 19:41:25
 0  0  91819 158605  24196 181838    0    0     0    20  595  489  1  4 94  1  0 2020-05-25 19:41:26
 0  0  91819 158659  24196 181838    0    0     0     0  492  353  2  4 94  0  0 2020-05-25 19:41:27
 0  0  91819 158659  24196 181838    0    0     0     0  240  218  1  1 98  0  0 2020-05-25 19:41:28
 0  0  91819 158620  24196 181838    0    0     0     0  258  223  7  2 91  0  0 2020-05-25 19:41:29
 0  0  91819 158620  24196 181838    0    0     0     0  209  192  0  1 99  0  0 2020-05-25 19:41:30
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                CEST
 1  0  91819 158706  24134 181838    0    0     0    12  251  234  1  1 97  1  0 2020-05-25 19:41:31
 0  0  91819 158620  24134 181838    0    0     0     0  239  211  0  1 99  0  0 2020-05-25 19:41:32
 0  0  91819 158706  24134 181838    0    0     0     0   50   54  0  0 100  0  0 2020-05-25 19:41:33
 0  0  91819 158706  24134 181838    0    0     0     0  222  175  0  1 99  0  0 2020-05-25 19:41:34
 0  0  91819 158706  24134 181838    0    0     0     0  169  141  0  1 99  0  0 2020-05-25 19:41:35
 0  0  91819 158706  24209 181838    0    0     0    12   76   85  0  1 99  0  0 2020-05-25 19:41:36
 0  0  91819 158706  24209 181838    0    0     0     0   83   68  0  1 99  0  0 2020-05-25 19:41:37
 0  0  91819 158706  24209 181838    0    0     0     0   58   60  0  0 100  0  0 2020-05-25 19:41:38
 0  0  91819 158706  24209 181838    0    0     0     0   65   66  0  0 100  0  0 2020-05-25 19:41:39
 0  0  91819 158838  24209 181838    0    0     0     0   73   69  1  1 98  0  0 2020-05-25 19:41:40
 0  0  91819 158706  24196 181838    0    0     0    12   37   66  0  0 100  0  0 2020-05-25 19:41:41
 0  0  91819 158706  24196 181838    0    0     0     0   68   62  0  1 99  0  0 2020-05-25 19:41:42
